id,images,text,likes,replies,retweets,quotes,timestamp,url,comment_text,comment_text_norm,keep,keep_reason
1406766222994153473,,"Man, shout out to you for thinking this crazy tweet at 5am. It takes me 1 minute to pee when i wake up and you just come in hot like it’s nothing.",54,2,0,0,2021-06-21T00:09:00.000Z,https://x.com/DannyDeraney/status/1406766222994153473,"Man, shout out to you for thinking this crazy tweet at 5am. It takes me 1 minute to pee when i wake up and you just come in hot like it’s nothing.","Man, shout out to you for thinking this crazy tweet at 5am. It takes me 1 minute to pee when i wake up and you just come in hot like it's nothing.",True,content_reaction
1406772191148986371,,"My advice for my fellow men regarding women:
STFU
end of tweet",6,0,0,0,2021-06-21T00:33:00.000Z,https://x.com/Sonova_Beachbum/status/1406772191148986371,"My advice for my fellow men regarding women:
STFU
end of tweet",My advice for my fellow men regarding women: STFU end of tweet,True,piece_relevant
1407131345097170944,,I saved this image to my phone long ago and am happy to now know who to credit for the beauty of it all.,4,0,0,0,2021-06-22T00:20:00.000Z,https://x.com/skrutsick/status/1407131345097170944,I saved this image to my phone long ago and am happy to now know who to credit for the beauty of it all.,I saved this image to my phone long ago and am happy to now know who to credit for the beauty of it all.,True,content_reaction
1407267449330864128,,"By using that word to express displeasure, you also confirm how filthy it sounds and shouldn't be a point of reference when addressing respectable persons in your life.
Unlearn this. It's biased and skewed!",2,1,0,0,2021-06-22T09:21:00.000Z,https://x.com/Lord__Isa/status/1407267449330864128,"By using that word to express displeasure, you also confirm how filthy it sounds and shouldn't be a point of reference when addressing respectable persons in your life.
Unlearn this. It's biased and skewed!","By using that word to express displeasure, you also confirm how filthy it sounds and shouldn't be a point of reference when addressing respectable persons in your life. Unlearn this. It's biased and skewed!",True,content_reaction
1406725477067264004,,"I appreciate the sentiment here, but this is wrong.

Former Guy lacks the warmth and the depth.",2,0,0,0,2021-06-20T21:27:00.000Z,https://x.com/nycmusicnerd/status/1406725477067264004,"I appreciate the sentiment here, but this is wrong.

Former Guy lacks the warmth and the depth.","I appreciate the sentiment here, but this is wrong. Former Guy lacks the warmth and the depth.",True,content_reaction
1407358864748597253,,Do we care,1,0,0,0,2021-06-22T15:24:00.000Z,https://x.com/its_wambugu/status/1407358864748597253,Do we care,Do we care,True,scope_relevant
1407251623039090696,,"Is it just me?? From the #AmerixSavesMen site:-

""I am a certified medical specialist in Reproductive Health. I’m here to lighten the load off your shoulders.""

I think his reprodictive load is more likely to be on his sleeve.",0,0,0,0,2021-06-22T08:18:00.000Z,https://x.com/GrumpyScousers/status/1407251623039090696,"Is it just me?? From the #AmerixSavesMen site:-

""I am a certified medical specialist in Reproductive Health. I’m here to lighten the load off your shoulders.""

I think his reprodictive load is more likely to be on his sleeve.","Is it just me?? From the #AmerixSavesMen site:- ""I am a certified medical specialist in Reproductive Health. I'm here to lighten the load off your shoulders."" I think his reprodictive load is more likely to be on his sleeve.",True,creator_reaction
1406723568680030214,,"Doc, it's a vagina. He probably thinks that the stork brings babies. Maybe he has a less professional or silly name that he can recommend for our lady bits. I hope he finds that unicorn he's describing.",12,0,1,0,2021-06-20T21:20:00.000Z,https://x.com/BelindaFaye4/status/1406723568680030214,"Doc, it's a vagina. He probably thinks that the stork brings babies. Maybe he has a less professional or silly name that he can recommend for our lady bits. I hope he finds that unicorn he's describing.","Doc, it's a vagina. He probably thinks that the stork brings babies. Maybe he has a less professional or silly name that he can recommend for our lady bits. I hope he finds that unicorn he's describing.",True,piece_relevant
1407167938168332290,,"That is a fantastic alternative to me always calling my vagina ""the thunderdome""!",13,3,0,0,2021-06-22T02:45:00.000Z,https://x.com/simonlex/status/1407167938168332290,"That is a fantastic alternative to me always calling my vagina ""the thunderdome""!","That is a fantastic alternative to me always calling my vagina ""the thunderdome""!",True,piece_relevant
1407251721592754176,,"This is Africa and Africa is our business, we have our moral standards. Westerners be telling us Polygamy is Evil yet say Homosexuality is a human right. 🚮🚮#FocusOnYourself  ask @amerix",8,12,0,0,2021-06-22T08:18:00.000Z,https://x.com/jeff_njeff/status/1407251721592754176,"This is Africa and Africa is our business, we have our moral standards. Westerners be telling us Polygamy is Evil yet say Homosexuality is a human right. 🚮🚮#FocusOnYourself  ask @amerix","This is Africa and Africa is our business, we have our moral standards. Westerners be telling us Polygamy is Evil yet say Homosexuality is a human right. 🚮🚮#FocusOnYourself ask @amerix",True,piece_relevant
1406719575941648387,,"I'm just confused at how he decides to rename an organ he doesn't have and based on most of his tweets I'm guessing rarely sees....like sir, my vagina is just fine being referred to as a vagina without stuttering",6,1,0,0,2021-06-20T21:04:00.000Z,https://x.com/ThatnewSMMChic/status/1406719575941648387,"I'm just confused at how he decides to rename an organ he doesn't have and based on most of his tweets I'm guessing rarely sees....like sir, my vagina is just fine being referred to as a vagina without stuttering","I'm just confused at how he decides to rename an organ he doesn't have and based on most of his tweets I'm guessing rarely sees....like sir, my vagina is just fine being referred to as a vagina without stuttering",True,piece_relevant
1407195722819293184,,You still have time to change your career and be a good woman.,5,2,0,0,2021-06-22T04:36:00.000Z,https://x.com/Pkem88/status/1407195722819293184,You still have time to change your career and be a good woman.,You still have time to change your career and be a good woman.,True,piece_relevant
1406913324005142528,,Does anyone else think that could be disastrous for women's health? If something is wrong you need to be able to talk about your body and correctly name the parts *easily*...,5,1,0,0,2021-06-21T09:54:00.000Z,https://x.com/abigailm1971/status/1406913324005142528,Does anyone else think that could be disastrous for women's health? If something is wrong you need to be able to talk about your body and correctly name the parts *easily*...,Does anyone else think that could be disastrous for women's health? If something is wrong you need to be able to talk about your body and correctly name the parts *easily*...,True,piece_relevant
1407355031750332416,,"Did you read to understand his statement? He said ""easily"" a damaged woman would easily use that term without caring where she is using it at. You go on yapping around instead of understaning what is meant.",4,0,0,0,2021-06-22T15:09:00.000Z,https://x.com/nandwasnr/status/1407355031750332416,"Did you read to understand his statement? He said ""easily"" a damaged woman would easily use that term without caring where she is using it at. You go on yapping around instead of understaning what is meant.","Did you read to understand his statement? He said ""easily"" a damaged woman would easily use that term without caring where she is using it at. You go on yapping around instead of understaning what is meant.",True,piece_relevant
1406989620341006343,,"Veterinarian here, I get all kinds of euphemisms for the vulva.  The hoo ha, her 'place,' her vagina (no that's internal). 

I love using the correct terminology as frequently as possible to make the squirm.

""Well, you see sir, your dog has a clitoris and it is very enlarged.""",4,1,0,0,2021-06-21T14:57:00.000Z,https://x.com/mgundarso/status/1406989620341006343,"Veterinarian here, I get all kinds of euphemisms for the vulva.  The hoo ha, her 'place,' her vagina (no that's internal). 

I love using the correct terminology as frequently as possible to make the squirm.

""Well, you see sir, your dog has a clitoris and it is very enlarged.""","Veterinarian here, I get all kinds of euphemisms for the vulva. The hoo ha, her 'place,' her vagina (no that's internal). I love using the correct terminology as frequently as possible to make the squirm. ""Well, you see sir, your dog has a clitoris and it is very enlarged.""",True,piece_relevant
1406634825096732672,,"I've figured it out, Amerix is afraid of vaginas.
Trevor Noah explains it well (starts 0:55)
invidious.tiekoetter.com/c80MS6AUcJ8",4,1,0,0,2021-06-20T15:27:00.000Z,https://x.com/spottedpelican/status/1406634825096732672,"I've figured it out, Amerix is afraid of vaginas.
Trevor Noah explains it well (starts 0:55)
invidious.tiekoetter.com/c80MS6AUcJ8","I've figured it out, Amerix is afraid of vaginas. Trevor Noah explains it well (starts 0:55) invidious.tiekoetter.com/c80MS6AUcJ8",True,piece_relevant
1406700580614123524,,Only vulgar to simplistic intolerant minds.,3,0,0,0,2021-06-20T19:48:00.000Z,https://x.com/drahcir_rahl/status/1406700580614123524,Only vulgar to simplistic intolerant minds.,Only vulgar to simplistic intolerant minds.,True,piece_relevant
1406614624489857027,,"Imagine your doctor not being ""vulgar"" qnd explaining a patient your ""hoohaa"" has an issue, because she ""diddled"" with someone having a sick ""dinglestick""

Pure professionalism 😩",2,0,0,0,2021-06-20T14:07:00.000Z,https://x.com/CapBlondebeard/status/1406614624489857027,"Imagine your doctor not being ""vulgar"" qnd explaining a patient your ""hoohaa"" has an issue, because she ""diddled"" with someone having a sick ""dinglestick""

Pure professionalism 😩","Imagine your doctor not being ""vulgar"" qnd explaining a patient your ""hoohaa"" has an issue, because she ""diddled"" with someone having a sick ""dinglestick"" Pure professionalism 😩",True,piece_relevant
1406595540654112768,,They call it “The Vault” in the women’s prison system. 🤷‍♀️🥲,2,0,0,0,2021-06-20T12:51:00.000Z,https://x.com/KristenBlush/status/1406595540654112768,They call it “The Vault” in the women’s prison system. 🤷‍♀️🥲,"They call it ""The Vault"" in the women's prison system. 🤷‍♀️🥲",True,piece_relevant
1408960337127215106,,I’m assuming from this idiot that we must refer to it as Man-space? Or Man’s-Property?,1,0,0,0,2021-06-27T01:28:00.000Z,https://x.com/Alcove_Seven/status/1408960337127215106,I’m assuming from this idiot that we must refer to it as Man-space? Or Man’s-Property?,I'm assuming from this idiot that we must refer to it as Man-space? Or Man's-Property?,True,content_reaction
1406674603137716229,,"I wanted to call him a fucking dick, but my vagina said: ""Please NO!! That would be so vulgar!!""",2,0,0,0,2021-06-20T18:05:00.000Z,https://x.com/ohplzlol/status/1406674603137716229,"I wanted to call him a fucking dick, but my vagina said: ""Please NO!! That would be so vulgar!!""","I wanted to call him a fucking dick, but my vagina said: ""Please NO!! That would be so vulgar!!""",True,piece_relevant
1406626154853945350,,Hahaha I love you,2,0,0,0,2021-06-20T14:53:00.000Z,https://x.com/chloeevansj/status/1406626154853945350,Hahaha I love you,Hahaha I love you,True,scope_relevant
1406495128777379840,,This reminds me of Peggy hill sex Ed class,48,0,0,0,2021-06-20T06:12:00.000Z,https://x.com/DrVirgo1981/status/1406495128777379840,This reminds me of Peggy hill sex Ed class,This reminds me of Peggy hill sex Ed class,True,content_reaction
1406479993690013697,,"VVVVV AGAIN? 
Soooooo sorry about my dyslexia. Disregdar this twtee.",0,0,0,0,2021-06-20T05:12:00.000Z,https://x.com/UhHuhYeahNo/status/1406479993690013697,"VVVVV AGAIN? 
Soooooo sorry about my dyslexia. Disregdar this twtee.",VVVVV AGAIN? Soooooo sorry about my dyslexia. Disregdar this twtee.,True,content_reaction
1407261419884716032,,"You clearly didn't get the message and it's ok. He meant ""making explicit and offensive reference to sex or bodily functions/body parts etc. To be rude. It's not vulgar if you're mentioning/teaching/working with the terms.",12,13,1,0,2021-06-22T08:57:00.000Z,https://x.com/ThisIsGills/status/1407261419884716032,"You clearly didn't get the message and it's ok. He meant ""making explicit and offensive reference to sex or bodily functions/body parts etc. To be rude. It's not vulgar if you're mentioning/teaching/working with the terms.","You clearly didn't get the message and it's ok. He meant ""making explicit and offensive reference to sex or bodily functions/body parts etc. To be rude. It's not vulgar if you're mentioning/teaching/working with the terms.",True,piece_relevant
1407745553103044612,,"Are we allowed to say 'hoohaa?' No man has ever corrected me on this, PLEASE TELL ME HOW TO CONDUCT THE ENGLISH.",1,0,0,0,2021-06-23T17:01:00.000Z,https://x.com/MajikPincat/status/1407745553103044612,"Are we allowed to say 'hoohaa?' No man has ever corrected me on this, PLEASE TELL ME HOW TO CONDUCT THE ENGLISH.","Are we allowed to say 'hoohaa?' No man has ever corrected me on this, PLEASE TELL ME HOW TO CONDUCT THE ENGLISH.",True,content_reaction
1408085225179992069,,Just so you know:  many Catholics believe that Jesus passed through Mary’s hymen as a ray if light. Her hymen was always intact so as not to ruin her status as ‘ever virgin.’,0,0,0,0,2021-06-24T15:30:00.000Z,https://x.com/maryannkelso/status/1408085225179992069,Just so you know:  many Catholics believe that Jesus passed through Mary’s hymen as a ray if light. Her hymen was always intact so as not to ruin her status as ‘ever virgin.’,Just so you know: many Catholics believe that Jesus passed through Mary's hymen as a ray if light. Her hymen was always intact so as not to ruin her status as 'ever virgin.',True,scope_relevant
1407335686760550409,,"Who verified you?
Clearly, you're defining a problem of your own= Common syndrome as content-ignorance.
Unlearn this!",0,1,0,0,2021-06-22T13:52:00.000Z,https://x.com/Lord__Isa/status/1407335686760550409,"Who verified you?
Clearly, you're defining a problem of your own= Common syndrome as content-ignorance.
Unlearn this!","Who verified you? Clearly, you're defining a problem of your own= Common syndrome as content-ignorance. Unlearn this!",True,content_reaction
1406622053067898895,,"I'd like to thank this small gathering of Erics for voting him the fuck out of your club.
Sincere appreciation from one who carries around a vagina. 🤩🤩🤩",2,0,0,0,2021-06-20T14:36:00.000Z,https://x.com/marshmellymel/status/1406622053067898895,"I'd like to thank this small gathering of Erics for voting him the fuck out of your club.
Sincere appreciation from one who carries around a vagina. 🤩🤩🤩",I'd like to thank this small gathering of Erics for voting him the fuck out of your club. Sincere appreciation from one who carries around a vagina. 🤩🤩🤩,True,piece_relevant
1407337211981348870,,@amerix is always right go file it😂😂😂,0,0,0,0,2021-06-22T13:58:00.000Z,https://x.com/Samscum254/status/1407337211981348870,@amerix is always right go file it😂😂😂,@amerix is always right go file it😂😂😂,True,creator_reaction
1407233698978844687,,"Come in Kenya and say ""Vagina"" ""Fvck"" in public using our local language. Here in Africa we respect decency! And FYI there is nothing wrong with saying 'vagina' at a doctor or private setting",40,1,0,0,2021-06-22T07:07:00.000Z,https://x.com/khendofm_kenya/status/1407233698978844687,"Come in Kenya and say ""Vagina"" ""Fvck"" in public using our local language. Here in Africa we respect decency! And FYI there is nothing wrong with saying 'vagina' at a doctor or private setting","Come in Kenya and say ""Vagina"" ""Fvck"" in public using our local language. Here in Africa we respect decency! And FYI there is nothing wrong with saying 'vagina' at a doctor or private setting",True,piece_relevant
1407143475817160705,,"Doc context and the message he's driving is very specific, well he misplaced the ""scientific "" vagina, what about the message?vulgar women...that's the message.",2,0,0,0,2021-06-22T01:08:00.000Z,https://x.com/mr_matiba/status/1407143475817160705,"Doc context and the message he's driving is very specific, well he misplaced the ""scientific "" vagina, what about the message?vulgar women...that's the message.","Doc context and the message he's driving is very specific, well he misplaced the ""scientific "" vagina, what about the message?vulgar women...that's the message.",True,piece_relevant
1407387610931253248,,"In my community, the word is a NO! in normal parlance . The statement is for us; @amerix  is absolutely right. Your arguments are right based on your culture and you are entitled to it.",1,1,0,0,2021-06-22T17:18:00.000Z,https://x.com/OlemakesenPeter/status/1407387610931253248,"In my community, the word is a NO! in normal parlance . The statement is for us; @amerix  is absolutely right. Your arguments are right based on your culture and you are entitled to it.","In my community, the word is a NO! in normal parlance . The statement is for us; @amerix is absolutely right. Your arguments are right based on your culture and you are entitled to it.",True,creator_reaction
1407275576134602754,,"I believe because ladies are supposed to pretend they don't have one until they get married to a gentleman like the original poster, who will find it for her.",1,0,0,0,2021-06-22T09:53:00.000Z,https://x.com/Freyalyn/status/1407275576134602754,"I believe because ladies are supposed to pretend they don't have one until they get married to a gentleman like the original poster, who will find it for her.","I believe because ladies are supposed to pretend they don't have one until they get married to a gentleman like the original poster, who will find it for her.",True,scope_relevant
1407241464048979969,,We understand the massage and we don't care @amerix is the goat and the master,1,0,0,0,2021-06-22T07:38:00.000Z,https://x.com/safari_musyoka/status/1407241464048979969,We understand the massage and we don't care @amerix is the goat and the master,We understand the massage and we don't care @amerix is the goat and the master,True,scope_relevant
1409604433554649091,,It scares him. It is more powerful than any body part he has. It holds the power of life.,0,0,0,0,2021-06-28T20:07:00.000Z,https://x.com/Gal67Pats/status/1409604433554649091,It scares him. It is more powerful than any body part he has. It holds the power of life.,It scares him. It is more powerful than any body part he has. It holds the power of life.,True,content_reaction
1407270392436301824,,It's a way to show respect. You wouldn't be considered conversational viable if all you'd want to think about is genitals and how to creatively curse on it. It's not taught!,0,0,0,0,2021-06-22T09:33:00.000Z,https://x.com/Lord__Isa/status/1407270392436301824,It's a way to show respect. You wouldn't be considered conversational viable if all you'd want to think about is genitals and how to creatively curse on it. It's not taught!,It's a way to show respect. You wouldn't be considered conversational viable if all you'd want to think about is genitals and how to creatively curse on it. It's not taught!,True,content_reaction
1407249346517778432,,"Your teacher said what he said, hakusema mambo na context😂😂😂😂😂😂
I'm loving this",0,0,0,0,2021-06-22T08:09:00.000Z,https://x.com/kajisasahel/status/1407249346517778432,"Your teacher said what he said, hakusema mambo na context😂😂😂😂😂😂
I'm loving this","Your teacher said what he said, hakusema mambo na context😂😂😂😂😂😂 I'm loving this",True,content_reaction
1407248191079301122,,Are asking for yourself or with a gun on your head? How did you earn your PhD if you cant put a simple statement like such into context?,0,0,0,0,2021-06-22T08:04:00.000Z,https://x.com/McOsedoh/status/1407248191079301122,Are asking for yourself or with a gun on your head? How did you earn your PhD if you cant put a simple statement like such into context?,Are asking for yourself or with a gun on your head? How did you earn your PhD if you cant put a simple statement like such into context?,True,substantive_broad
1407246351000346627,,"This toxic man thinks we should listen to him instead of amerix, 🤣🤣🤣",0,0,0,0,2021-06-22T07:57:00.000Z,https://x.com/joe_nderi/status/1407246351000346627,"This toxic man thinks we should listen to him instead of amerix, 🤣🤣🤣","This toxic man thinks we should listen to him instead of amerix, 🤣🤣🤣",True,creator_reaction
1407222539030614016,,Our cultures are different Whites have been unable to mind their own business since time immemorial.,0,0,0,0,2021-06-22T06:22:00.000Z,https://x.com/joekoth_/status/1407222539030614016,Our cultures are different Whites have been unable to mind their own business since time immemorial.,Our cultures are different Whites have been unable to mind their own business since time immemorial.,True,scope_relevant
1406964822604877824,,Because he's scared of them,0,0,0,0,2021-06-21T13:18:00.000Z,https://x.com/JGordizzle/status/1406964822604877824,Because he's scared of them,Because he's scared of them,True,scope_relevant
1406806454288498688,,Stop pretending you didn't understand. Word is Vulgarity.,0,0,0,0,2021-06-21T02:49:00.000Z,https://x.com/Mzamiaji/status/1406806454288498688,Stop pretending you didn't understand. Word is Vulgarity.,Stop pretending you didn't understand. Word is Vulgarity.,True,piece_relevant
1406780754802077697,,Because he’s telling on himself. It’s a clear demonstration of his contempt for women and all this “moral” policing is just a cover for it.,0,0,0,0,2021-06-21T01:07:00.000Z,https://x.com/AmyJoRyan/status/1406780754802077697,Because he’s telling on himself. It’s a clear demonstration of his contempt for women and all this “moral” policing is just a cover for it.,"Because he's telling on himself. It's a clear demonstration of his contempt for women and all this ""moral"" policing is just a cover for it.",True,piece_relevant
1406697985757564931,,The message from @amerix reached home keep off !,0,0,0,0,2021-06-20T19:38:00.000Z,https://x.com/KenyanBern/status/1406697985757564931,The message from @amerix reached home keep off !,The message from @amerix reached home keep off !,True,creator_reaction
1406433894505795587,,I vote for “piss flaps” because that keeps it non-sexual.,133,3,2,0,2021-06-20T02:09:00.000Z,https://x.com/murder_turd/status/1406433894505795587,I vote for “piss flaps” because that keeps it non-sexual.,"I vote for ""piss flaps"" because that keeps it non-sexual.",True,piece_relevant
1406494630041067537,,"Not ""Eric"", vaginas are tough.",4,0,0,0,2021-06-20T06:10:00.000Z,https://x.com/RadimirGuerrero/status/1406494630041067537,"Not ""Eric"", vaginas are tough.","Not ""Eric"", vaginas are tough.",True,piece_relevant
1407018027829366787,,Some of us romance writers are especially fond of the term: glittery hoo-ha.,3,0,0,0,2021-06-21T16:50:00.000Z,https://x.com/lisekimhorton/status/1407018027829366787,Some of us romance writers are especially fond of the term: glittery hoo-ha.,Some of us romance writers are especially fond of the term: glittery hoo-ha.,True,substantive_broad
1406549225962414083,,"Well first it's not vulgar, but if this person must be immature about it ""lady parts"" has been used as alternative.",3,0,0,0,2021-06-20T09:47:00.000Z,https://x.com/MissBleuFour/status/1406549225962414083,"Well first it's not vulgar, but if this person must be immature about it ""lady parts"" has been used as alternative.","Well first it's not vulgar, but if this person must be immature about it ""lady parts"" has been used as alternative.",True,piece_relevant
1407228675247030274,,"You dont call a dog Dog just becouse its a dog. Instead we name the dog.
Come max, tiger eat, puppy  shut up. Thats how you get a dog to respect your command.
Dont call it ""dick""- get it a name.

Thats a lady to be respected.",1,0,0,0,2021-06-22T06:47:00.000Z,https://x.com/Nasaba_bora58/status/1407228675247030274,"You dont call a dog Dog just becouse its a dog. Instead we name the dog.
Come max, tiger eat, puppy  shut up. Thats how you get a dog to respect your command.
Dont call it ""dick""- get it a name.

Thats a lady to be respected.","You dont call a dog Dog just becouse its a dog. Instead we name the dog. Come max, tiger eat, puppy shut up. Thats how you get a dog to respect your command. Dont call it ""dick""- get it a name. Thats a lady to be respected.",True,piece_relevant
1407131118374035464,,Maybe he tried to type--Can't Understand Normal Thinking and it auto-corrected to Vagina?? 🤷‍♀️😬,1,0,0,0,2021-06-22T00:19:00.000Z,https://x.com/feabs20/status/1407131118374035464,Maybe he tried to type--Can't Understand Normal Thinking and it auto-corrected to Vagina?? 🤷‍♀️😬,Maybe he tried to type--Can't Understand Normal Thinking and it auto-corrected to Vagina?? 🤷‍♀️😬,True,piece_relevant
