author,comment,commentsCount,pageUrl,replyCount,title,type,videoID,voteCount,source_file,source_text_col,comment_text,comment_text_norm,mode,word_count,has_gender_hint,has_stance_hint,has_experience_hint,has_learning_hint,has_change_hint,has_reinforcement_hint,has_action_hint,has_info_hint,has_identity_hint,keep,keep_reason
@lehanLovega8326,👏🏾👏🏾👏🏾👏🏾!,175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),comment,,0,Youtube- Undoing my Father's damage.xlsx,comment,👏🏾👏🏾👏🏾👏🏾!,👏🏾👏🏾👏🏾👏🏾!,v1,0,False,False,False,False,False,False,False,False,False,False,emoji_or_punct_only
@austheticstudios9295,"Am a poet, almost same story like mine. Poem is the only place i feel heard at the same time relieved. It is a different world away from the natural one. Where I ride a lion and sleep peacefully with snakes. You know👌🏽",175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),comment,,2,Youtube- Undoing my Father's damage.xlsx,comment,"Am a poet, almost same story like mine. Poem is the only place i feel heard at the same time relieved. It is a different world away from the natural one. Where I ride a lion and sleep peacefully with snakes. You know👌🏽","am a poet, almost same story like mine. poem is the only place i feel heard at the same time relieved. it is a different world away from the natural one. where i ride a lion and sleep peacefully with snakes. you know👌🏽",v1,43,False,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@phoebekardita3469,"Maaahn 🔥🔥you are so brave,
Some of us still have traumas caused by our parents,we still carry the luggage around,not knowing how to drop it cause some traumas feel spiritual 🤞....
But at the end of the day we have to find peace and if we won't we'll have to create it.",175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),comment,,2,Youtube- Undoing my Father's damage.xlsx,comment,"Maaahn 🔥🔥you are so brave,
Some of us still have traumas caused by our parents,we still carry the luggage around,not knowing how to drop it cause some traumas feel spiritual 🤞....
But at the end of the day we have to find peace and if we won't we'll have to create it.","maaahn 🔥🔥you are so brave, some of us still have traumas caused by our parents,we still carry the luggage around,not knowing how to drop it cause some traumas feel spiritual 🤞.... but at the end of the day we have to find peace and if we won't we'll have to create it.",v1,55,False,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@Zee_CA,This soo traumatic and ruthless for a  10yr old kid. Sad.,175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),comment,,0,Youtube- Undoing my Father's damage.xlsx,comment,This soo traumatic and ruthless for a  10yr old kid. Sad.,this soo traumatic and ruthless for a 10yr old kid. sad.,v1,11,False,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@freeasabirdtabutany,So sorry for all you went through. What a monster dad,175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),comment,,0,Youtube- Undoing my Father's damage.xlsx,comment,So sorry for all you went through. What a monster dad,so sorry for all you went through. what a monster dad,v1,11,False,False,False,False,False,False,False,False,False,False,emoji_or_punct_only
@janettewatila9854,I am so sorry....... Oh  so so tragic..... Parents really damage children.....,175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),comment,,2,Youtube- Undoing my Father's damage.xlsx,comment,I am so sorry....... Oh  so so tragic..... Parents really damage children.....,i am so sorry....... oh so so tragic..... parents really damage children.....,v1,12,False,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@wanjamuchiri132,"""I am hear because I clearly survived"" 
Oooh dear you grew in what you went through😌
Thanks to the power of healing.
I am sending you all the love ❤️",175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),comment,,3,Youtube- Undoing my Father's damage.xlsx,comment,"""I am hear because I clearly survived"" 
Oooh dear you grew in what you went through😌
Thanks to the power of healing.
I am sending you all the love ❤️","""i am hear because i clearly survived"" oooh dear you grew in what you went through😌 thanks to the power of healing. i am sending you all the love ❤️",v1,29,False,False,True,False,False,False,False,True,False,False,emoji_or_punct_only
@leilajoan9989,"Thanks for sharing.
This takes alot of courage to speak  of.",175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),comment,,0,Youtube- Undoing my Father's damage.xlsx,comment,"Thanks for sharing.
This takes alot of courage to speak  of.",thanks for sharing. this takes alot of courage to speak of.,v1,11,False,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@idawairimu7093,Waaa I don't like that crude child abuse seemingly discipline.. Really destroys self esteem.. So sorry,175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),comment,,0,Youtube- Undoing my Father's damage.xlsx,comment,Waaa I don't like that crude child abuse seemingly discipline.. Really destroys self esteem.. So sorry,waaa i don't like that crude child abuse seemingly discipline.. really destroys self esteem.. so sorry,v1,17,False,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@mirriammututo8869,A story well told. I am so glad that God preserved you,175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),comment,,0,Youtube- Undoing my Father's damage.xlsx,comment,A story well told. I am so glad that God preserved you,a story well told. i am so glad that god preserved you,v1,12,False,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
